Customer_ID,Customer_Name,Join_Date,Last_Purchase_Date,Region,Product_Category,Total_Spend,Orders_Count,Subscription_Type,Churn_Status
CUST100000,Customer_1,2022-12-14,2024-08-08,East,Home,34172,29,Premium,Yes
CUST100001,Customer_2,2022-05-21,2024-12-01,West,Home,40005.28,22,Premium,No
CUST100002,Customer_3,2022-07-23,2023-01-12,North,Beauty,45776.14,20,Standard,Yes
CUST100003,Customer_4,2024-09-30,2026-01-24,East,Home,23095.2,6,Premium,Yes
CUST100004,Customer_5,2024-05-10,2026-04-27,East,Sports,28799.85,6,Standard,No
CUST100005,Customer_6,2024-04-24,2028-03-25,West,Home,18541.38,4,Basic,No
CUST100006,Customer_7,2024-09-21,2028-09-05,North,Sports,2641.7,1,Premium,No
CUST100007,Customer_8,2022-11-09,2025-11-02,North,Home,48945.01,19,Basic,No
CUST100008,Customer_9,2022-05-17,2023-06-12,East,Sports,11722.05,11,Basic,Yes
CUST100009,Customer_10,2022-12-17,2025-10-02,South,Home,126693.59,26,Basic,No
CUST100010,Customer_11,2025-03-30,2028-10-11,East,Home,27443.08,7,Standard,No
CUST100011,Customer_12,2022-06-22,2025-03-10,East,Fashion,8628.11,2,Premium,No
CUST100012,Customer_13,2025-02-27,2025-06-09,East,Sports,6214.95,4,Basic,Yes
CUST100013,Customer_14,2022-03-20,2024-05-27,East,Sports,13829.32,6,Basic,No
CUST100014,Customer_15,2024-09-05,2026-01-29,West,Sports,4809.51,5,Standard,Yes
CUST100015,Customer_16,2023-07-23,2026-03-04,North,Electronics,142009.77,30,Premium,No
CUST100016,Customer_17,2024-05-12,2027-02-20,West,Home,39297.09,22,Standard,No
CUST100017,Customer_18,2022-02-26,2024-07-06,West,Sports,66822.92,21,Standard,No
CUST100018,Customer_19,2022-12-29,2025-09-16,West,Electronics,10664.91,9,Standard,No
CUST100019,Customer_20,2022-05-14,2024-09-21,East,Fashion,45238.43,11,Basic,No
CUST100020,Customer_21,2022-01-14,2025-09-15,South,Sports,37479.43,28,Basic,No
CUST100021,Customer_22,2022-10-10,2025-07-14,North,Sports,120124.66,29,Basic,No
CUST100022,Customer_23,2024-03-16,2028-03-19,South,Electronics,41542.77,18,Premium,No
CUST100023,Customer_24,2022-05-07,2023-12-31,West,Home,61998.13,20,Basic,Yes
CUST100024,Customer_25,2022-08-06,2024-11-25,West,Fashion,29132.72,17,Standard,No
CUST100025,Customer_26,2024-01-15,2024-09-23,South,Sports,125229.83,28,Basic,Yes
CUST100026,Customer_27,2023-11-11,2026-08-13,South,Home,50952.3,13,Standard,No
CUST100027,Customer_28,2024-09-23,2026-09-06,South,Fashion,48167.36,23,Basic,No
CUST100028,Customer_29,2022-09-17,2026-04-18,West,Beauty,53280.35,17,Basic,No
CUST100029,Customer_30,2022-04-09,2025-09-30,West,Beauty,23769.86,22,Basic,No
CUST100030,Customer_31,2022-07-01,2024-11-26,North,Fashion,31775.26,26,Standard,No
CUST100031,Customer_32,2022-06-18,2025-10-12,North,Electronics,29015.49,10,Basic,No
CUST100032,Customer_33,2022-08-21,2025-03-04,West,Fashion,98098.14,29,Standard,No
CUST100033,Customer_34,2024-08-13,2027-10-15,South,Fashion,75211.07,25,Standard,No
CUST100034,Customer_35,2025-01-21,2027-05-15,South,Electronics,54312.05,18,Standard,No
CUST100035,Customer_36,2023-04-17,2025-02-19,North,Electronics,65285.2,17,Standard,Yes
CUST100036,Customer_37,2025-01-13,2026-11-30,West,Home,54730,12,Premium,Yes
CUST100037,Customer_38,2023-11-10,2027-12-04,North,Home,33662.83,15,Basic,No
CUST100038,Customer_39,2023-01-16,2026-04-12,North,Electronics,78737.4,27,Basic,No
CUST100039,Customer_40,2022-09-08,2024-04-18,East,Beauty,122002.41,27,Premium,Yes
CUST100040,Customer_41,2025-01-13,2028-12-02,East,Beauty,69909.86,27,Basic,No
CUST100041,Customer_42,2022-11-15,2026-11-04,East,Fashion,65082.43,26,Premium,No
CUST100042,Customer_43,2022-07-12,2025-08-17,South,Sports,114530.14,29,Basic,No
CUST100043,Customer_44,2024-07-25,2027-02-21,West,Fashion,84509.25,19,Standard,No
CUST100044,Customer_45,2023-08-24,2027-03-31,West,Fashion,84029.55,22,Basic,No
CUST100045,Customer_46,2023-08-30,2026-05-02,West,Sports,14258.4,15,Premium,No
CUST100046,Customer_47,2024-02-04,2027-11-03,West,Electronics,33689.1,13,Standard,No
CUST100047,Customer_48,2024-06-03,2026-11-07,East,Beauty,10177.04,7,Basic,No
CUST100048,Customer_49,2024-09-17,2028-07-03,South,Fashion,21208.72,11,Basic,No
CUST100049,Customer_50,2023-05-21,2025-07-28,South,Sports,20875.16,8,Basic,No
CUST100050,Customer_51,2022-03-06,2025-07-09,East,Home,29937.58,20,Standard,No
CUST100051,Customer_52,2022-08-10,2024-10-01,South,Fashion,45147.22,16,Basic,No
CUST100052,Customer_53,2023-04-11,2025-05-02,East,Beauty,81473.8,24,Basic,No
CUST100053,Customer_54,2022-03-13,2024-06-16,West,Electronics,102051.98,23,Standard,No
CUST100054,Customer_55,2024-06-06,2028-02-12,East,Fashion,15967.3,11,Basic,No
CUST100055,Customer_56,2023-04-19,2025-12-29,West,Fashion,45541.02,24,Basic,No
CUST100056,Customer_57,2023-10-17,2024-01-09,West,Sports,11630.51,5,Basic,Yes
CUST100057,Customer_58,2022-01-19,2026-01-13,North,Home,39271.97,26,Standard,No
CUST100058,Customer_59,2023-06-06,2026-12-03,East,Home,13959.26,7,Premium,No
CUST100059,Customer_60,2024-02-23,2026-02-12,North,Electronics,71601.24,16,Basic,No
CUST100060,Customer_61,2023-02-19,2027-03-04,East,Beauty,33718.4,30,Standard,No
CUST100061,Customer_62,2022-12-30,2025-09-24,East,Electronics,39949.83,16,Basic,No
CUST100062,Customer_63,2023-06-12,2024-07-04,North,Fashion,37987.03,20,Basic,Yes
CUST100063,Customer_64,2025-01-08,2029-01-06,North,Fashion,24570,29,Standard,No
CUST100064,Customer_65,2024-03-06,2026-06-26,East,Home,15853.59,17,Basic,No
CUST100065,Customer_66,2025-03-17,2026-12-16,South,Beauty,76607.23,19,Standard,Yes
CUST100066,Customer_67,2023-03-19,2023-04-19,West,Sports,121393.96,28,Premium,Yes
CUST100067,Customer_68,2022-09-22,2025-08-13,North,Beauty,99744.69,26,Premium,No
CUST100068,Customer_69,2023-10-12,2027-06-15,West,Fashion,43897.96,15,Basic,No
CUST100069,Customer_70,2023-05-24,2027-03-11,South,Sports,99424.19,25,Basic,No
CUST100070,Customer_71,2023-04-11,2026-06-05,South,Beauty,17761.06,15,Premium,No
CUST100071,Customer_72,2022-12-31,2025-01-15,South,Beauty,108294.49,27,Basic,No
CUST100072,Customer_73,2023-05-08,2027-04-29,North,Sports,48112.77,20,Standard,No
CUST100073,Customer_74,2023-06-26,2026-07-26,South,Fashion,116292.6,30,Basic,No
CUST100074,Customer_75,2025-04-06,2028-08-26,North,Beauty,32022.32,21,Basic,No
CUST100075,Customer_76,2025-01-19,2028-06-19,South,Sports,63696.68,15,Basic,No
CUST100076,Customer_77,2023-12-24,2027-10-15,West,Fashion,9169.57,3,Premium,No
CUST100077,Customer_78,2024-04-21,2025-09-20,West,Sports,6396.23,12,Premium,Yes
CUST100078,Customer_79,2022-10-27,2026-04-11,East,Sports,76590.96,27,Basic,No
CUST100079,Customer_80,2022-06-23,2023-06-29,West,Beauty,11377.55,6,Premium,Yes
CUST100080,Customer_81,2023-10-08,2027-07-10,East,Fashion,15175.17,20,Basic,No
CUST100081,Customer_82,2022-01-24,2023-08-05,West,Beauty,12564.47,5,Basic,Yes
CUST100082,Customer_83,2024-01-01,2024-11-04,North,Electronics,20917.77,11,Standard,Yes
CUST100083,Customer_84,2022-01-07,2024-05-27,West,Electronics,32654.38,23,Standard,No
CUST100084,Customer_85,2024-10-26,2025-09-22,East,Fashion,24852.59,12,Basic,Yes
CUST100085,Customer_86,2025-03-30,2028-03-29,East,Sports,9157.63,7,Basic,No
CUST100086,Customer_87,2024-05-27,2026-01-12,South,Beauty,16642.39,9,Premium,Yes
CUST100087,Customer_88,2022-06-15,2025-10-21,North,Beauty,18342.08,18,Premium,No
CUST100088,Customer_89,2023-03-04,2024-02-23,West,Fashion,12311.69,14,Premium,Yes
CUST100089,Customer_90,2022-05-25,2023-09-16,South,Fashion,18380.35,4,Basic,Yes
CUST100090,Customer_91,2024-07-21,2028-08-11,West,Electronics,36499.57,8,Standard,No
CUST100091,Customer_92,2023-05-24,2027-05-02,West,Home,67616.37,16,Basic,No
CUST100092,Customer_93,2024-06-25,2024-09-24,South,Fashion,6145.86,4,Premium,Yes
CUST100093,Customer_94,2023-10-07,2026-03-25,South,Home,105462.22,28,Basic,No
CUST100094,Customer_95,2022-03-17,2024-02-08,South,Fashion,59920.39,19,Basic,Yes
CUST100095,Customer_96,2024-04-03,2026-05-12,South,Sports,21916.51,30,Basic,No
CUST100096,Customer_97,2024-11-27,2028-09-27,South,Sports,118251.53,26,Premium,No
CUST100097,Customer_98,2023-07-20,2024-12-27,West,Electronics,29945.52,6,Standard,Yes
CUST100098,Customer_99,2025-03-09,2027-09-02,South,Electronics,70095.68,19,Basic,No
CUST100099,Customer_100,2023-09-09,2026-11-16,North,Home,23126.78,15,Standard,No
CUST100100,Customer_101,2023-01-16,2026-04-07,East,Fashion,35938.12,12,Premium,No
CUST100101,Customer_102,2024-04-27,2025-08-25,South,Beauty,29766.37,30,Basic,Yes
CUST100102,Customer_103,2022-10-30,2023-04-08,South,Electronics,22134.08,12,Premium,Yes
CUST100103,Customer_104,2024-01-26,2027-04-12,West,Beauty,7455.3,2,Premium,No
CUST100104,Customer_105,2022-06-13,2026-03-12,South,Beauty,16693.51,9,Basic,No
CUST100105,Customer_106,2022-04-11,2023-02-11,South,Fashion,3487.28,3,Basic,Yes
CUST100106,Customer_107,2024-06-16,2026-07-09,South,Home,533.62,1,Basic,No
CUST100107,Customer_108,2024-02-22,2028-02-16,West,Fashion,43068.41,14,Basic,No
CUST100108,Customer_109,2023-01-03,2025-12-27,South,Electronics,136052.49,28,Standard,No
CUST100109,Customer_110,2023-12-28,2026-06-29,East,Beauty,75000.76,28,Standard,No
CUST100110,Customer_111,2023-01-07,2024-12-17,West,Fashion,18937.8,13,Standard,No
CUST100111,Customer_112,2024-05-11,2025-09-06,East,Fashion,74958.04,29,Basic,Yes
CUST100112,Customer_113,2022-10-07,2025-10-21,West,Fashion,80234.42,25,Standard,No
CUST100113,Customer_114,2022-11-12,2026-10-12,South,Electronics,20530.79,5,Standard,No
CUST100114,Customer_115,2025-01-05,2026-09-10,East,Home,17759.38,7,Premium,Yes
CUST100115,Customer_116,2024-03-26,2024-08-11,West,Fashion,17895.98,14,Basic,Yes
CUST100116,Customer_117,2022-05-31,2024-05-26,North,Electronics,21536.72,16,Standard,No
CUST100117,Customer_118,2024-10-05,2027-10-25,South,Beauty,81877.81,18,Premium,No
CUST100118,Customer_119,2023-10-31,2026-09-13,West,Sports,21883.24,14,Standard,No
